CaseId,Evaluation
200001,0
200002,0
200003,0
200004,0
200005,0
200006,0
200007,0
200008,0
200009,0
200010,0
200011,0
200012,1
200013,0
200014,0
200015,0
200016,0
200017,1
200018,0
200019,1
200020,0
200021,0
200022,0
200023,0
200024,0
200025,0
200026,0
200027,0
200028,0
200029,0
200030,0
200031,0
200032,0
200033,1
200034,0
200035,0
200036,0
200037,1
200038,0
200039,0
200040,0
200041,0
200042,0
200043,0
200044,0
200045,0
200046,0
200047,0
200048,0
200049,0
200050,0
200051,0
200052,0
200053,0
200054,0
200055,0
200056,0
200057,0
200058,0
200059,0
200060,1
200061,0
200062,1
200063,1
200064,0
200065,0
200066,1
200067,0
200068,0
200069,0
200070,1
200071,0
200072,0
200073,0
200074,1
200075,0
200076,0
200077,0
200078,0
200079,0
200080,0
200081,1
200082,0
200083,0
200084,0
200085,0
200086,0
200087,0
200088,0
200089,1
200090,0
200091,0
200092,0
200093,0
200094,0
200095,0
200096,0
200097,0
200098,1
200099,1
200100,0
200101,0
200102,0
200103,0
200104,0
200105,0
200106,0
200107,0
200108,1
200109,0
200110,0
200111,0
200112,0
200113,0
200114,0
200115,0
200116,0
200117,0
200118,0
200119,1
200120,1
200121,0
200122,0
200123,0
200124,0
200125,0
200126,0
200127,0
200128,0
200129,0
200130,0
200131,1
200132,0
200133,1
200134,0
200135,0
200136,0
200137,0
200138,0
200139,1
200140,0
200141,0
200142,0
200143,0
200144,0
200145,0
200146,1
200147,0
200148,1
200149,0
200150,0
200151,0
200152,0
200153,0
200154,0
200155,1
200156,0
200157,1
200158,0
200159,0
200160,0
200161,0
200162,0
200163,1
200164,1
200165,0
200166,0
200167,0
200168,0
200169,0
200170,0
200171,1
200172,0
200173,0
200174,0
200175,0
200176,0
200177,0
200178,0
200179,0
200180,0
200181,0
200182,0
200183,0
200184,0
200185,0
200186,0
200187,0
200188,0
200189,0
200190,0
200191,0
200192,0
200193,0
200194,0
200195,0
200196,0
200197,0
200198,0
200199,0
200200,0
200201,1
200202,0
200203,0
200204,1
200205,0
200206,0
200207,0
200208,0
200209,1
200210,0
200211,0
200212,0
200213,0
200214,0
200215,0
200216,0
200217,0
200218,0
200219,0
200220,0
200221,0
200222,0
200223,0
200224,0
200225,0
200226,0
200227,0
200228,0
200229,1
200230,0
200231,0
200232,0
200233,0
200234,0
200235,1
200236,0
200237,1
200238,0
200239,0
200240,0
200241,1
200242,0
200243,1
200244,0
200245,1
200246,0
200247,1
200248,0
200249,0
200250,0
200251,0
200252,0
200253,0
200254,0
200255,1
200256,0
200257,1
200258,0
200259,1
200260,1
200261,0
200262,1
200263,0
200264,0
200265,0
200266,0
200267,0
200268,0
200269,0
200270,0
200271,0
200272,0
200273,0
200274,0
200275,0
200276,0
200277,0
200278,1
200279,0
200280,0
200281,0
200282,0
200283,1
200284,0
200285,0
200286,0
200287,0
200288,0
200289,0
200290,0
200291,1
200292,0
200293,0
200294,0
200295,0
200296,0
200297,0
200298,0
200299,0
200300,0
200301,0
200302,0
200303,0
200304,1
200305,0
200306,0
200307,0
200308,0
200309,0
200310,0
200311,0
200312,0
200313,0
200314,0
200315,0
200316,0
200317,0
200318,0
200319,0
200320,0
200321,0
200322,0
200323,0
200324,0
200325,0
200326,1
200327,0
200328,0
200329,0
200330,0
200331,0
200332,0
200333,0
200334,0
200335,1
200336,0
200337,0
200338,0
200339,0
200340,0
200341,1
200342,0
200343,0
200344,0
200345,0
200346,1
200347,0
200348,0
200349,0
200350,0
200351,0
200352,0
200353,0
200354,0
200355,1
200356,0
200357,1
200358,0
200359,0
200360,0
200361,0
200362,0
200363,0
200364,0
200365,0
200366,0
200367,0
200368,0
200369,0
200370,0
200371,0
200372,0
200373,1
200374,0
200375,0
200376,0
200377,0
200378,0
200379,0
200380,0
200381,0
200382,0
200383,0
200384,0
200385,0
200386,0
200387,0
200388,0
200389,0
200390,0
200391,0
200392,0
200393,0
200394,1
200395,0
200396,0
200397,0
200398,1
200399,0
200400,0
200401,0
200402,0
200403,0
200404,1
200405,0
200406,0
200407,0
200408,0
200409,0
200410,0
200411,0
200412,0
200413,0
200414,0
200415,1
200416,0
200417,0
200418,0
200419,0
200420,0
200421,0
200422,0
200423,0
200424,0
200425,1
200426,0
200427,0
200428,0
200429,0
200430,0
200431,0
200432,0
200433,1
200434,0
200435,0
200436,0
200437,0
200438,0
200439,0
200440,0
200441,0
200442,1
200443,0
200444,0
200445,0
200446,0
200447,0
200448,1
200449,0
200450,0
200451,0
200452,0
200453,0
200454,0
200455,0
200456,0
200457,0
200458,0
200459,1
200460,0
200461,0
200462,0
200463,0
200464,1
200465,1
200466,0
200467,0
200468,0
200469,0
200470,0
200471,0
200472,1
200473,0
200474,0
200475,0
200476,0
200477,1
200478,0
200479,1
200480,0
200481,0
200482,0
200483,0
200484,0
200485,0
200486,1
200487,0
200488,0
200489,0
200490,0
200491,0
200492,0
200493,0
200494,0
200495,0
200496,0
200497,1
200498,0
200499,0
200500,1
200501,0
200502,0
200503,0
200504,0
200505,0
200506,0
200507,0
200508,0
200509,0
200510,0
200511,0
200512,0
200513,0
200514,0
200515,0
200516,0
200517,0
200518,0
200519,0
200520,0
200521,0
200522,0
200523,0
200524,0
200525,0
200526,1
200527,1
200528,0
200529,1
200530,0
200531,0
200532,0
200533,0
200534,0
200535,0
200536,1
200537,0
200538,0
200539,0
200540,0
200541,0
200542,0
200543,0
200544,0
200545,0
200546,1
200547,0
200548,0
200549,0
200550,0
200551,1
200552,0
200553,0
200554,0
200555,0
200556,0
200557,1
200558,0
200559,0
200560,0
200561,0
200562,0
200563,0
200564,1
200565,0
200566,0
200567,0
200568,0
200569,1
200570,0
200571,0
200572,0
200573,0
200574,0
200575,0
200576,0
200577,0
200578,0
200579,0
200580,0
200581,0
200582,1
200583,0
200584,0
200585,0
200586,0
200587,0
200588,0
200589,0
200590,1
200591,0
200592,1
200593,0
200594,0
200595,0
200596,0
200597,0
200598,0
200599,0
200600,0
200601,0
200602,1
200603,0
200604,0
200605,0
200606,0
200607,0
200608,0
200609,0
200610,0
200611,0
200612,0
200613,0
200614,0
200615,0
200616,1
200617,0
200618,0
200619,0
200620,0
200621,0
200622,0
200623,0
200624,0
200625,0
200626,0
200627,0
200628,0
200629,0
200630,0
200631,0
200632,0
200633,0
200634,0
200635,0
200636,0
200637,0
200638,0
200639,0
200640,0
200641,0
200642,1
200643,0
200644,0
200645,0
200646,0
200647,0
200648,0
200649,1
200650,0
200651,0
200652,0
200653,0
200654,0
200655,0
200656,0
200657,0
200658,0
200659,0
200660,0
200661,0
200662,1
200663,0
200664,1
200665,1
200666,0
200667,0
200668,0
200669,0
200670,0
200671,0
200672,0
200673,0
200674,0
200675,0
200676,0
200677,0
200678,0
200679,0
200680,1
200681,0
200682,0
200683,0
200684,0
200685,0
200686,0
200687,0
200688,0
200689,0
200690,0
200691,0
200692,1
200693,0
200694,0
200695,0
200696,0
200697,1
200698,0
200699,0
200700,0
200701,1
200702,0
200703,1
200704,0
200705,0
200706,0
200707,0
200708,1
200709,0
200710,0
200711,0
200712,0
200713,0
200714,1
200715,0
200716,1
200717,0
200718,0
200719,1
200720,0
200721,0
200722,0
200723,0
200724,0
200725,0
200726,0
200727,0
200728,0
200729,0
200730,0
200731,0
200732,0
200733,0
200734,0
200735,0
200736,1
200737,1
200738,0
200739,1
200740,0
200741,1
200742,0
200743,0
200744,0
200745,1
200746,0
200747,0
200748,1
200749,0
200750,0
200751,0
200752,1
200753,0
200754,0
200755,0
200756,0
200757,1
200758,0
200759,0
200760,0
200761,0
200762,1
200763,0
200764,0
200765,0
200766,0
200767,0
200768,0
200769,0
200770,0
200771,0
200772,0
200773,1
200774,0
200775,0
200776,0
200777,0
200778,0
200779,0
200780,0
200781,0
200782,0
200783,0
200784,0
200785,0
200786,0
200787,0
200788,0
200789,0
200790,0
200791,0
200792,1
200793,0
200794,0
200795,0
200796,0
200797,0
200798,0
200799,0
200800,0
200801,0
200802,0
200803,0
200804,0
200805,0
200806,0
200807,0
200808,0
200809,0
200810,0
200811,0
200812,0
200813,0
200814,0
200815,0
200816,0
200817,0
200818,0
200819,0
200820,0
200821,0
200822,0
200823,1
200824,0
200825,0
200826,0
200827,0
200828,0
200829,0
200830,1
200831,0
200832,0
200833,0
200834,0
200835,0
200836,0
200837,0
200838,0
200839,1
200840,0
200841,0
200842,0
200843,0
200844,0
200845,1
200846,0
200847,1
200848,1
200849,0
200850,0
200851,0
200852,0
200853,0
200854,0
200855,0
200856,0
200857,1
200858,0
200859,0
200860,1
200861,0
200862,0
200863,0
200864,1
200865,1
200866,0
200867,0
200868,0
200869,0
200870,1
200871,0
200872,0
200873,0
200874,0
200875,1
200876,0
200877,1
200878,0
200879,0
200880,0
200881,0
200882,0
200883,0
200884,0
200885,0
200886,0
200887,0
200888,0
200889,0
200890,0
200891,0
200892,0
200893,1
200894,0
200895,0
200896,0
200897,0
200898,0
200899,0
200900,0
200901,0
200902,0
200903,0
200904,0
200905,0
200906,0
200907,0
200908,0
200909,0
200910,0
200911,0
200912,0
200913,0
200914,0
200915,0
200916,0
200917,1
200918,0
200919,1
200920,0
200921,0
200922,1
200923,0
200924,0
200925,0
200926,1
200927,0
200928,0
200929,0
200930,1
200931,0
200932,0
200933,0
200934,0
200935,0
200936,0
200937,0
200938,0
200939,1
200940,0
200941,0
200942,0
200943,0
200944,0
200945,0
200946,0
200947,0
200948,1
200949,1
200950,0
200951,0
200952,1
200953,0
200954,0
200955,1
200956,0
200957,0
200958,0
200959,0
200960,0
200961,1
200962,0
200963,0
200964,0
200965,0
200966,0
200967,0
200968,0
200969,0
200970,0
200971,0
200972,0
200973,0
200974,1
200975,0
200976,0
200977,0
200978,0
200979,0
200980,1
200981,1
200982,0
200983,0
200984,0
200985,0
200986,1
200987,1
200988,0
200989,0
200990,0
200991,0
200992,0
200993,0
200994,0
200995,0
200996,0
200997,0
200998,0
200999,0
201000,0
201001,0
201002,0
201003,1
201004,0
201005,0
201006,0
201007,0
201008,0
201009,0
201010,0
201011,0
201012,0
201013,0
201014,0
201015,0
201016,0
201017,0
201018,0
201019,0
201020,0
201021,1
201022,0
201023,0
201024,0
201025,0
201026,0
201027,1
201028,0
201029,0
201030,0
201031,0
201032,0
201033,1
201034,0
201035,0
201036,1
201037,0
201038,0
201039,1
201040,1
201041,0
201042,1
201043,0
201044,0
201045,0
201046,0
201047,0
201048,0
201049,0
201050,0
201051,0
201052,0
201053,1
201054,0
201055,0
201056,0
201057,0
201058,0
201059,0
201060,0
201061,0
201062,0
201063,0
201064,0
201065,0
201066,0
201067,0
201068,0
201069,1
201070,0
201071,0
201072,0
201073,1
201074,0
201075,1
201076,0
201077,0
201078,1
201079,0
201080,0
201081,0
201082,0
201083,0
201084,0
201085,0
201086,0
201087,1
201088,0
201089,1
201090,0
201091,0
201092,0
201093,0
201094,1
201095,0
201096,0
201097,0
201098,0
201099,0
201100,1
201101,0
201102,0
201103,0
201104,1
201105,0
201106,0
201107,0
201108,0
201109,0
201110,0
201111,0
201112,0
201113,0
201114,0
201115,0
201116,0
201117,0
201118,0
201119,0
201120,0
201121,1
201122,0
201123,0
201124,0
201125,0
201126,0
201127,0
201128,1
201129,1
201130,0
201131,0
201132,0
201133,0
201134,0
201135,0
201136,0
201137,0
201138,0
201139,0
201140,0
201141,0
201142,0
201143,0
201144,1
201145,0
201146,0
201147,0
201148,0
201149,0
201150,0
201151,1
201152,0
201153,0
201154,0
201155,0
201156,0
201157,0
201158,0
201159,0
201160,0
201161,0
201162,0
201163,0
201164,0
201165,0
201166,0
201167,0
201168,0
201169,0
201170,0
201171,1
201172,1
201173,1
201174,0
201175,0
201176,0
201177,0
201178,0
201179,0
201180,0
201181,0
201182,1
201183,0
201184,1
201185,0
201186,0
201187,0
201188,0
201189,1
201190,0
201191,0
201192,0
201193,0
201194,0
201195,0
201196,0
201197,0
201198,0
201199,0
201200,1
201201,0
201202,0
201203,0
201204,0
201205,0
201206,0
201207,0
201208,0
201209,1
201210,0
201211,0
201212,0
201213,0
201214,0
201215,0
201216,0
201217,0
201218,0
201219,0
201220,0
201221,0
201222,0
201223,0
201224,0
201225,0
201226,0
201227,0
201228,0
201229,0
201230,0
201231,0
201232,0
201233,0
201234,0
201235,0
201236,0
201237,0
201238,0
201239,0
201240,1
201241,0
201242,0
201243,0
201244,0
201245,0
201246,0
201247,0
201248,0
201249,1
201250,0
201251,0
201252,0
201253,0
201254,0
201255,1
201256,0
201257,0
201258,0
201259,0
201260,0
201261,0
201262,0
201263,0
201264,1
201265,0
201266,0
201267,0
201268,0
201269,0
201270,0
201271,1
201272,1
201273,1
201274,1
201275,0
201276,0
201277,0
201278,0
201279,0
201280,0
201281,0
201282,0
201283,0
201284,0
201285,0
201286,0
201287,1
201288,0
201289,1
201290,0
201291,1
201292,1
201293,0
201294,0
201295,0
201296,0
201297,0
201298,0
201299,0
201300,0
201301,0
201302,0
201303,0
201304,0
201305,0
201306,0
201307,0
201308,0
201309,0
201310,0
201311,0
201312,0
201313,0
201314,0
201315,0
201316,0
201317,0
201318,0
201319,1
201320,0
201321,1
201322,0
201323,0
201324,0
201325,0
201326,0
201327,0
201328,0
201329,0
201330,0
201331,0
201332,1
201333,0
201334,0
201335,0
201336,0
201337,0
201338,1
201339,0
201340,0
201341,0
201342,0
201343,0
201344,1
201345,0
201346,0
201347,0
201348,0
201349,0
201350,0
201351,0
201352,0
201353,0
201354,0
201355,0
201356,0
201357,0
201358,0
201359,0
201360,0
201361,0
201362,0
201363,0
201364,0
201365,0
201366,0
201367,0
201368,0
201369,0
