,CaseId,predict
0,200001,0
1,200002,0
2,200003,0
3,200004,0
4,200005,0
5,200006,0
6,200007,0
7,200008,0
8,200009,0
9,200010,0
10,200011,0
11,200012,1
12,200013,0
13,200014,0
14,200015,0
15,200016,0
16,200017,1
17,200018,0
18,200019,1
19,200020,0
20,200021,0
21,200022,0
22,200023,0
23,200024,0
24,200025,0
25,200026,0
26,200027,0
27,200028,0
28,200029,0
29,200030,0
30,200031,0
31,200032,0
32,200033,1
33,200034,0
34,200035,0
35,200036,0
36,200037,1
37,200038,0
38,200039,0
39,200040,0
40,200041,0
41,200042,0
42,200043,0
43,200044,0
44,200045,0
45,200046,0
46,200047,0
47,200048,0
48,200049,0
49,200050,0
50,200051,0
51,200052,0
52,200053,0
53,200054,0
54,200055,0
55,200056,0
56,200057,0
57,200058,0
58,200059,0
59,200060,0
60,200061,0
61,200062,1
62,200063,1
63,200064,0
64,200065,0
65,200066,1
66,200067,0
67,200068,0
68,200069,0
69,200070,1
70,200071,0
71,200072,0
72,200073,0
73,200074,1
74,200075,0
75,200076,0
76,200077,0
77,200078,0
78,200079,0
79,200080,0
80,200081,1
81,200082,0
82,200083,0
83,200084,0
84,200085,0
85,200086,0
86,200087,0
87,200088,0
88,200089,0
89,200090,0
90,200091,0
91,200092,0
92,200093,0
93,200094,0
94,200095,0
95,200096,0
96,200097,0
97,200098,1
98,200099,1
99,200100,0
100,200101,0
101,200102,0
102,200103,0
103,200104,0
104,200105,0
105,200106,0
106,200107,0
107,200108,1
108,200109,0
109,200110,0
110,200111,0
111,200112,0
112,200113,0
113,200114,0
114,200115,0
115,200116,0
116,200117,0
117,200118,0
118,200119,1
119,200120,1
120,200121,0
121,200122,0
122,200123,0
123,200124,0
124,200125,0
125,200126,0
126,200127,0
127,200128,0
128,200129,0
129,200130,0
130,200131,1
131,200132,0
132,200133,1
133,200134,0
134,200135,0
135,200136,0
136,200137,0
137,200138,0
138,200139,1
139,200140,0
140,200141,0
141,200142,0
142,200143,0
143,200144,0
144,200145,0
145,200146,1
146,200147,0
147,200148,1
148,200149,0
149,200150,0
150,200151,0
151,200152,0
152,200153,0
153,200154,0
154,200155,1
155,200156,0
156,200157,1
157,200158,0
158,200159,0
159,200160,0
160,200161,0
161,200162,0
162,200163,1
163,200164,1
164,200165,0
165,200166,0
166,200167,0
167,200168,0
168,200169,0
169,200170,0
170,200171,1
171,200172,0
172,200173,0
173,200174,0
174,200175,0
175,200176,0
176,200177,0
177,200178,0
178,200179,0
179,200180,0
180,200181,0
181,200182,0
182,200183,0
183,200184,0
184,200185,0
185,200186,0
186,200187,0
187,200188,0
188,200189,0
189,200190,0
190,200191,0
191,200192,0
192,200193,0
193,200194,0
194,200195,0
195,200196,0
196,200197,0
197,200198,0
198,200199,0
199,200200,0
200,200201,1
201,200202,0
202,200203,0
203,200204,1
204,200205,0
205,200206,0
206,200207,0
207,200208,0
208,200209,1
209,200210,0
210,200211,0
211,200212,0
212,200213,0
213,200214,0
214,200215,0
215,200216,0
216,200217,0
217,200218,0
218,200219,0
219,200220,0
220,200221,0
221,200222,0
222,200223,0
223,200224,0
224,200225,0
225,200226,0
226,200227,0
227,200228,0
228,200229,1
229,200230,0
230,200231,0
231,200232,0
232,200233,0
233,200234,0
234,200235,1
235,200236,0
236,200237,1
237,200238,0
238,200239,0
239,200240,0
240,200241,1
241,200242,0
242,200243,1
243,200244,0
244,200245,1
245,200246,0
246,200247,1
247,200248,0
248,200249,0
249,200250,0
250,200251,0
251,200252,0
252,200253,0
253,200254,0
254,200255,1
255,200256,0
256,200257,0
257,200258,0
258,200259,1
259,200260,1
260,200261,0
261,200262,0
262,200263,0
263,200264,0
264,200265,0
265,200266,0
266,200267,0
267,200268,0
268,200269,0
269,200270,0
270,200271,0
271,200272,0
272,200273,0
273,200274,0
274,200275,0
275,200276,0
276,200277,0
277,200278,1
278,200279,0
279,200280,0
280,200281,0
281,200282,0
282,200283,1
283,200284,0
284,200285,0
285,200286,0
286,200287,0
287,200288,0
288,200289,0
289,200290,0
290,200291,1
291,200292,0
292,200293,0
293,200294,0
294,200295,0
295,200296,0
296,200297,0
297,200298,0
298,200299,0
299,200300,0
300,200301,0
301,200302,0
302,200303,0
303,200304,1
304,200305,0
305,200306,0
306,200307,0
307,200308,0
308,200309,0
309,200310,0
310,200311,0
311,200312,0
312,200313,0
313,200314,0
314,200315,0
315,200316,0
316,200317,0
317,200318,0
318,200319,0
319,200320,0
320,200321,0
321,200322,0
322,200323,0
323,200324,0
324,200325,0
325,200326,1
326,200327,0
327,200328,0
328,200329,0
329,200330,0
330,200331,0
331,200332,0
332,200333,0
333,200334,0
334,200335,1
335,200336,0
336,200337,0
337,200338,0
338,200339,0
339,200340,0
340,200341,1
341,200342,0
342,200343,0
343,200344,0
344,200345,0
345,200346,1
346,200347,0
347,200348,0
348,200349,0
349,200350,0
350,200351,0
351,200352,0
352,200353,0
353,200354,0
354,200355,1
355,200356,0
356,200357,1
357,200358,0
358,200359,0
359,200360,0
360,200361,0
361,200362,0
362,200363,0
363,200364,0
364,200365,0
365,200366,0
366,200367,0
367,200368,0
368,200369,0
369,200370,0
370,200371,0
371,200372,0
372,200373,1
373,200374,0
374,200375,0
375,200376,0
376,200377,0
377,200378,0
378,200379,0
379,200380,0
380,200381,0
381,200382,0
382,200383,0
383,200384,0
384,200385,0
385,200386,0
386,200387,0
387,200388,0
388,200389,0
389,200390,0
390,200391,0
391,200392,0
392,200393,0
393,200394,1
394,200395,0
395,200396,0
396,200397,0
397,200398,1
398,200399,0
399,200400,0
400,200401,0
401,200402,0
402,200403,0
403,200404,1
404,200405,0
405,200406,0
406,200407,0
407,200408,0
408,200409,0
409,200410,0
410,200411,0
411,200412,0
412,200413,0
413,200414,0
414,200415,1
415,200416,0
416,200417,0
417,200418,0
418,200419,0
419,200420,0
420,200421,0
421,200422,0
422,200423,0
423,200424,0
424,200425,1
425,200426,0
426,200427,0
427,200428,0
428,200429,0
429,200430,0
430,200431,0
431,200432,0
432,200433,1
433,200434,0
434,200435,0
435,200436,0
436,200437,0
437,200438,0
438,200439,0
439,200440,0
440,200441,1
441,200442,1
442,200443,0
443,200444,0
444,200445,0
445,200446,0
446,200447,0
447,200448,1
448,200449,0
449,200450,0
450,200451,0
451,200452,0
452,200453,0
453,200454,0
454,200455,0
455,200456,0
456,200457,0
457,200458,0
458,200459,1
459,200460,0
460,200461,0
461,200462,0
462,200463,0
463,200464,1
464,200465,1
465,200466,0
466,200467,0
467,200468,0
468,200469,0
469,200470,0
470,200471,0
471,200472,1
472,200473,0
473,200474,0
474,200475,0
475,200476,0
476,200477,1
477,200478,0
478,200479,1
479,200480,0
480,200481,0
481,200482,0
482,200483,0
483,200484,0
484,200485,0
485,200486,1
486,200487,0
487,200488,0
488,200489,0
489,200490,0
490,200491,0
491,200492,0
492,200493,0
493,200494,0
494,200495,0
495,200496,0
496,200497,1
497,200498,0
498,200499,0
499,200500,1
500,200501,0
501,200502,0
502,200503,0
503,200504,0
504,200505,0
505,200506,0
506,200507,0
507,200508,0
508,200509,0
509,200510,0
510,200511,0
511,200512,0
512,200513,0
513,200514,0
514,200515,0
515,200516,0
516,200517,0
517,200518,0
518,200519,0
519,200520,0
520,200521,0
521,200522,0
522,200523,0
523,200524,0
524,200525,0
525,200526,1
526,200527,1
527,200528,0
528,200529,1
529,200530,0
530,200531,0
531,200532,0
532,200533,0
533,200534,0
534,200535,0
535,200536,1
536,200537,0
537,200538,0
538,200539,0
539,200540,0
540,200541,0
541,200542,0
542,200543,0
543,200544,0
544,200545,1
545,200546,0
546,200547,0
547,200548,0
548,200549,0
549,200550,0
550,200551,1
551,200552,0
552,200553,0
553,200554,0
554,200555,0
555,200556,0
556,200557,1
557,200558,0
558,200559,0
559,200560,0
560,200561,0
561,200562,0
562,200563,0
563,200564,0
564,200565,0
565,200566,0
566,200567,0
567,200568,0
568,200569,1
569,200570,0
570,200571,0
571,200572,0
572,200573,0
573,200574,0
574,200575,0
575,200576,0
576,200577,0
577,200578,0
578,200579,0
579,200580,0
580,200581,0
581,200582,1
582,200583,0
583,200584,0
584,200585,0
585,200586,0
586,200587,0
587,200588,0
588,200589,0
589,200590,1
590,200591,0
591,200592,1
592,200593,0
593,200594,0
594,200595,0
595,200596,0
596,200597,0
597,200598,0
598,200599,0
599,200600,0
600,200601,0
601,200602,1
602,200603,0
603,200604,0
604,200605,0
605,200606,0
606,200607,0
607,200608,0
608,200609,0
609,200610,0
610,200611,0
611,200612,0
612,200613,0
613,200614,0
614,200615,0
615,200616,1
616,200617,0
617,200618,0
618,200619,0
619,200620,0
620,200621,0
621,200622,0
622,200623,0
623,200624,0
624,200625,0
625,200626,0
626,200627,0
627,200628,0
628,200629,0
629,200630,0
630,200631,0
631,200632,0
632,200633,0
633,200634,0
634,200635,0
635,200636,0
636,200637,0
637,200638,0
638,200639,0
639,200640,0
640,200641,0
641,200642,1
642,200643,0
643,200644,0
644,200645,0
645,200646,0
646,200647,0
647,200648,0
648,200649,1
649,200650,0
650,200651,0
651,200652,0
652,200653,0
653,200654,0
654,200655,0
655,200656,0
656,200657,0
657,200658,0
658,200659,0
659,200660,0
660,200661,0
661,200662,1
662,200663,0
663,200664,1
664,200665,1
665,200666,0
666,200667,0
667,200668,0
668,200669,0
669,200670,0
670,200671,0
671,200672,0
672,200673,0
673,200674,0
674,200675,0
675,200676,0
676,200677,0
677,200678,0
678,200679,0
679,200680,1
680,200681,0
681,200682,0
682,200683,0
683,200684,0
684,200685,0
685,200686,0
686,200687,0
687,200688,0
688,200689,0
689,200690,0
690,200691,0
691,200692,1
692,200693,0
693,200694,0
694,200695,0
695,200696,0
696,200697,1
697,200698,0
698,200699,0
699,200700,0
700,200701,1
701,200702,0
702,200703,1
703,200704,0
704,200705,0
705,200706,0
706,200707,0
707,200708,0
708,200709,0
709,200710,0
710,200711,0
711,200712,0
712,200713,0
713,200714,1
714,200715,0
715,200716,1
716,200717,0
717,200718,0
718,200719,1
719,200720,0
720,200721,0
721,200722,0
722,200723,0
723,200724,0
724,200725,0
725,200726,0
726,200727,0
727,200728,0
728,200729,0
729,200730,0
730,200731,0
731,200732,0
732,200733,0
733,200734,0
734,200735,0
735,200736,1
736,200737,0
737,200738,0
738,200739,1
739,200740,0
740,200741,1
741,200742,0
742,200743,0
743,200744,0
744,200745,1
745,200746,0
746,200747,0
747,200748,1
748,200749,0
749,200750,0
750,200751,0
751,200752,1
752,200753,0
753,200754,0
754,200755,0
755,200756,0
756,200757,1
757,200758,0
758,200759,0
759,200760,0
760,200761,0
761,200762,1
762,200763,0
763,200764,0
764,200765,0
765,200766,0
766,200767,0
767,200768,0
768,200769,0
769,200770,0
770,200771,0
771,200772,0
772,200773,1
773,200774,0
774,200775,0
775,200776,0
776,200777,0
777,200778,0
778,200779,0
779,200780,0
780,200781,0
781,200782,0
782,200783,0
783,200784,0
784,200785,0
785,200786,0
786,200787,0
787,200788,0
788,200789,0
789,200790,0
790,200791,0
791,200792,1
792,200793,0
793,200794,0
794,200795,0
795,200796,0
796,200797,0
797,200798,0
798,200799,0
799,200800,0
800,200801,0
801,200802,0
802,200803,0
803,200804,0
804,200805,0
805,200806,0
806,200807,0
807,200808,0
808,200809,0
809,200810,0
810,200811,0
811,200812,0
812,200813,0
813,200814,0
814,200815,0
815,200816,0
816,200817,0
817,200818,0
818,200819,0
819,200820,0
820,200821,0
821,200822,0
