id,city,hour,is_workday,weather,wind,temp,y
1,0,22,1,2,0,1.85,15
2,0,10,1,1,3,22.95,48
3,0,0,1,1,0,26.35,21
4,0,7,0,1,0,15.95,11
5,1,10,1,1,2,23.05,39
6,1,0,1,1,0,19.3,12
7,0,0,1,1,2,13.15,11
8,0,15,1,1,2,30.2,67
9,0,15,1,2,3,10.5,77
10,1,4,1,3,3,17.7,2
11,1,0,1,1,2,15.1,6
12,1,8,0,1,0,26.55,25
13,0,21,0,2,0,8.75,52
14,0,5,1,3,1,14.7,8
15,1,3,1,1,1,27,0
16,0,23,0,2,0,25.2,53
17,1,14,0,1,1,6,49
18,1,17,1,1,2,5.5,75
19,1,1,1,1,3,18.35,5
20,1,7,0,2,1,23.8,13
21,0,9,0,1,0,25.55,67
22,0,16,1,3,2,11.1,76
23,0,5,1,2,0,13.5,10
24,0,8,1,1,1,-2.05,113
25,0,22,1,1,0,18.85,43
26,1,0,1,1,1,20.35,11
27,0,6,1,2,2,6.1,29
28,0,5,1,1,2,.35,7
29,0,8,1,1,0,22.25,187
30,1,22,1,1,2,30.25,42
31,0,4,0,1,2,5.3,0
32,0,7,1,1,0,26.85,119
33,1,14,1,2,3,23.25,51
34,0,5,1,2,0,5.15,8
35,1,21,0,1,2,27.5,62
36,1,16,1,1,1,11.4,60
37,1,20,1,1,0,.5,32
38,1,1,0,2,0,25.75,22
39,1,9,0,1,1,16.05,53
40,1,12,1,1,4,15.2,59
41,1,2,0,2,2,11.2,9
42,0,18,0,3,0,-1.85,30
43,1,5,1,3,0,2.55,1
44,1,3,1,1,1,-.2,0
45,0,1,1,1,1,1.55,1
46,0,13,0,2,1,9.55,90
47,1,19,0,1,2,19.05,84
48,0,19,1,1,0,12.05,106
49,0,18,1,1,1,7.3,128
50,1,15,1,1,1,38.5,38
51,0,6,0,1,1,10.8,5
52,0,15,0,2,3,23.05,167
53,1,14,0,2,2,31,100
54,0,17,1,3,0,8.5,73
55,1,15,1,1,1,27.2,52
56,0,4,0,1,0,2.05,0
57,1,6,1,1,0,22.55,24
58,1,16,1,3,1,11.75,12
59,0,13,0,1,1,13.5,170
60,1,0,0,2,0,20.3,51
61,0,21,1,1,1,13.7,83
62,0,2,0,3,1,21.15,10
63,1,18,1,2,2,-2.85,46
64,0,9,1,1,2,3.7,82
65,1,7,1,1,0,6.35,75
66,1,2,1,1,1,11.75,1
67,1,22,1,1,2,23.75,46
68,0,2,0,2,0,26.35,25
69,1,13,1,1,2,37.9,30
70,0,5,1,1,1,20.4,10
71,0,10,1,3,3,4.05,23
72,1,15,1,2,0,-1.25,14
73,0,7,1,1,2,22.2,129
74,1,17,0,1,2,8.25,54
75,0,9,1,2,1,4.1,72
76,0,12,0,3,0,28,138
77,0,22,1,1,0,23.5,52
78,0,0,1,1,0,25.75,10
79,0,8,1,1,2,.75,130
80,0,22,0,3,0,2.55,13
81,0,21,0,3,3,24,35
82,0,13,1,1,1,4.75,33
83,0,18,1,1,2,23.55,209
84,1,17,1,1,2,39.2,124
85,0,5,1,1,1,27.5,11
86,1,22,1,1,2,13.4,42
87,0,0,1,2,0,20.5,14
88,0,16,1,3,3,1.8,2
89,0,11,1,1,1,33.25,47
90,0,13,1,2,2,9.65,25
91,0,19,1,2,0,7.4,66
92,0,6,1,2,0,21.3,36
93,1,23,1,2,2,5.8,15
94,1,19,1,1,1,27.8,118
95,1,12,0,2,0,21.05,122
96,1,23,1,1,0,28.7,21
97,0,8,0,2,0,8.25,31
98,1,14,1,2,3,26.75,36
99,1,1,0,1,0,27.9,23
100,0,23,1,1,1,32,33
101,0,9,1,1,1,11.55,84
102,1,21,1,3,2,12.65,22
103,1,7,0,3,0,1.45,1
104,0,10,1,2,1,20.15,56
105,1,10,0,1,1,31.85,76
106,0,9,1,1,1,29.85,89
107,1,6,0,1,3,10.7,1
108,0,23,1,1,2,25.55,32
109,0,10,1,2,2,12.55,41
110,1,11,1,1,4,-1.25,15
111,0,12,0,1,0,33.45,124
112,0,6,0,2,1,22.65,7
113,1,21,0,1,0,22.65,68
114,0,10,1,2,1,26.15,58
115,0,5,0,1,2,2.8,0
116,1,10,0,1,3,15,83
117,0,17,1,2,1,31.15,164
118,1,17,1,1,0,32.55,163
