,0
0,1
1,2
2,1
3,1
4,1
5,1
6,2
7,1
8,2
9,2
10,2
11,2
12,2
13,1
14,1
15,1
16,1
17,1
18,2
19,1
20,1
21,1
22,2
23,2
24,2
25,1
26,1
27,2
28,1
29,1
30,2
31,1
32,2
33,1
34,2
35,2
36,2
37,1
38,2
39,2
40,1
41,2
42,1
43,1
44,2
45,2
46,2
47,1
48,2
49,1
50,1
51,1
52,2
53,1
54,2
55,1
56,2
57,2
58,2
59,2
60,1
61,1
62,1
63,1
64,1
65,1
66,2
67,2
68,1
69,2
70,1
71,1
72,2
73,1
74,2
75,1
76,1
77,1
78,2
79,2
80,1
81,2
82,2
83,2
84,1
85,1
86,1
87,1
88,2
89,1
90,1
91,2
92,2
93,1
94,1
95,2
96,1
97,2
98,1
99,1
100,1
101,2
102,1
103,1
104,1
105,2
106,2
107,1
108,1
109,1
110,2
111,1
112,2
113,1
114,2
115,1
116,2
117,2
118,2
119,2
120,1
121,2
122,1
123,2
124,2
125,2
126,1
127,1
128,2
129,1
130,1
131,2
132,1
133,1
134,2
135,2
136,1
137,1
138,1
139,1
140,2
141,2
142,1
143,1
144,1
145,2
146,1
147,1
148,2
149,1
150,2
151,2
152,1
153,1
154,2
155,2
156,2
157,1
158,1
159,1
160,1
161,2
162,2
163,2
164,1
165,1
166,1
167,1
168,1
169,1
170,1
171,2
172,1
173,2
174,1
175,1
176,2
177,1
178,1
179,1
180,2
181,2
182,2
183,1
184,1
185,1
186,1
187,1
188,2
189,1
190,2
191,1
192,1
193,2
194,1
195,2
196,1
197,1
198,1
199,2
200,1
201,1
202,2
203,1
204,2
205,1
206,1
207,1
208,2
209,1
210,1
211,2
212,1
213,1
214,1
215,2
216,2
217,1
218,1
219,1
220,2
221,1
222,1
223,2
224,1
225,1
226,1
227,1
228,1
229,1
230,1
231,1
232,1
233,2
234,1
235,2
236,2
237,1
238,1
239,1
240,1
241,1
242,1
243,1
244,1
245,2
246,1
247,2
248,2
249,2
250,1
251,2
252,2
253,2
254,1
255,1
256,2
257,1
258,2
259,1
260,1
261,1
262,1
263,2
264,2
265,1
266,2
267,1
268,2
269,2
270,1
271,1
272,1
273,1
274,2
275,1
276,2
277,1
278,1
279,1
280,2
281,2
282,2
283,1
284,1
285,2
286,1
287,2
288,1
289,1
290,1
291,1
292,1
293,1
294,1
295,1
296,2
297,1
298,1
299,1
300,1
301,2
302,1
303,1
304,1
305,1
306,2
307,1
308,1
309,1
310,1
311,1
312,1
313,1
314,2
315,1
316,1
317,1
318,2
319,1
320,2
321,1
322,1
323,1
324,1
325,1
326,1
327,1
328,1
329,2
330,1
331,2
332,1
333,2
334,1
335,1
336,2
337,1
338,1
339,1
340,2
341,2
342,1
343,1
344,1
345,2
346,1
347,2
348,2
349,2
350,2
351,1
352,2
353,1
354,1
355,2
356,1
357,2
358,2
359,2
360,1
361,1
362,2
363,2
364,2
365,1
366,2
367,2
368,1
369,2
370,2
371,1
372,2
373,1
374,1
375,1
376,2
377,1
378,1
379,2
380,2
381,1
382,1
383,1
384,1
385,2
386,1
387,1
388,1
389,1
390,2
391,2
392,2
393,2
394,2
395,1
396,1
397,1
398,1
399,1
400,1
401,1
402,2
403,1
404,1
405,2
406,1
407,1
408,2
409,2
410,1
411,1
412,2
413,2
414,2
415,2
416,1
417,1
418,1
419,1
420,1
421,1
422,1
423,2
424,1
425,2
426,1
427,2
428,2
429,1
430,1
431,1
432,2
433,1
434,2
435,1
436,2
437,1
438,1
439,1
440,2
441,1
442,1
443,1
444,2
445,1
446,2
447,1
448,1
449,1
450,1
451,2
452,1
453,2
454,1
455,2
456,1
457,1
458,2
459,2
460,2
461,2
462,1
463,1
464,1
465,2
466,1
467,1
468,1
469,2
470,2
471,1
472,1
473,1
474,1
475,1
476,1
477,1
478,1
479,2
480,1
481,2
482,1
483,1
484,1
485,1
486,2
487,1
488,2
489,2
490,2
491,2
492,1
493,1
494,1
495,2
496,1
497,2
498,1
499,1
500,1
501,2
502,1
503,1
504,1
505,1
506,2
507,1
508,1
509,1
510,1
511,1
512,2
513,2
514,1
515,1
516,1
517,1
518,1
519,1
520,2
521,1
522,2
523,2
524,2
525,2
526,1
527,2
528,2
529,2
530,2
531,2
532,1
533,1
534,2
535,2
536,2
537,1
538,1
539,1
540,2
541,1
542,2
543,2
544,2
545,2
546,2
547,2
548,2
549,1
550,1
551,1
552,2
553,1
554,1
555,1
556,2
557,1
558,1
559,1
560,1
561,2
562,1
563,2
564,1
565,1
566,1
567,1
568,1
569,1
570,1
571,1
572,1
573,2
574,1
575,2
576,1
577,1
578,1
579,1
580,1
581,1
582,2
583,2
584,1
585,1
586,2
587,1
588,1
589,1
590,2
591,1
592,1
593,2
594,1
595,1
596,1
597,1
598,2
599,2
600,1
601,2
602,1
603,1
604,1
605,2
606,1
607,2
608,2
609,2
610,2
611,1
612,2
613,1
614,2
615,1
616,2
617,2
618,2
619,1
620,1
621,1
622,1
623,2
624,1
625,1
626,1
627,1
628,1
629,1
630,1
631,1
632,2
633,2
634,2
635,1
636,1
637,2
638,1
639,1
640,2
641,1
642,1
643,1
644,1
645,1
646,1
647,1
648,2
649,2
650,2
651,1
652,1
653,1
654,1
655,1
656,1
657,1
658,1
659,1
660,1
661,2
662,1
663,1
664,1
665,2
666,1
667,1
668,1
669,1
670,2
671,1
672,2
673,1
674,1
675,1
676,1
677,1
678,1
679,1
680,1
681,1
682,1
683,1
684,1
685,1
686,2
687,2
688,1
689,2
690,1
691,2
692,1
693,2
694,1
695,1
696,2
697,1
698,2
699,1
700,2
701,2
702,2
703,1
704,2
705,1
706,2
707,1
708,1
709,1
710,1
711,1
712,2
713,1
714,1
715,2
716,2
717,2
718,1
719,1
720,1
721,1
722,1
723,2
724,2
725,1
726,2
727,1
728,1
729,1
730,1
731,1
732,1
733,1
734,1
735,1
736,1
737,1
738,1
739,2
740,2
741,2
742,1
743,2
744,1
745,1
746,1
747,2
748,1
749,1
750,2
751,1
752,1
753,1
754,1
755,1
756,2
757,1
758,2
759,2
760,1
761,1
762,1
763,2
764,1
765,2
766,1
767,2
768,2
769,1
770,1
771,1
772,2
773,2
774,2
775,1
776,1
777,1
778,2
779,2
780,1
781,1
782,1
783,1
784,2
785,1
786,2
787,1
788,2
789,2
790,1
791,1
792,2
793,1
794,1
795,2
796,1
797,1
798,2
799,2
800,2
801,1
802,1
803,1
804,2
805,1
806,1
807,1
808,1
809,1
810,2
811,1
812,1
813,2
814,2
815,1
816,1
817,2
818,2
819,1
820,2
821,2
822,1
823,1
824,1
825,1
826,2
827,2
828,2
829,1
830,1
831,2
832,1
833,1
834,2
835,2
836,1
837,1
838,1
839,2
840,2
841,1
842,2
843,1
844,1
845,1
846,1
847,1
848,2
849,2
850,1
851,2
852,1
853,1
854,1
855,2
856,1
857,2
858,2
859,1
860,2
861,1
862,1
863,2
864,2
865,1
866,1
867,2
868,2
869,1
870,2
871,1
872,1
873,2
874,2
875,1
876,2
877,1
878,1
879,2
880,2
881,1
882,1
883,2
884,1
885,2
886,2
887,1
888,1
889,1
890,2
891,1
892,1
893,1
894,1
895,2
896,2
897,2
898,1
899,1
900,2
901,1
902,2
903,1
904,1
905,1
906,2
907,1
908,1
909,1
910,2
911,1
912,1
913,2
914,1
915,1
916,1
917,1
918,2
919,1
920,1
921,2
922,2
923,2
924,2
925,2
926,1
927,1
928,1
929,2
930,2
931,2
932,2
933,1
934,1
935,2
936,1
937,2
938,1
939,1
940,1
941,2
942,1
943,1
944,2
945,1
946,1
947,1
948,2
949,1
950,1
951,2
952,1
953,1
954,1
955,2
956,1
957,1
958,1
959,2
960,1
961,2
962,1
963,1
